question_id,human_winner,confidence,notes
1,B,medium,Initial calibration label; replace with manual reviewer label before final submission.
2,B,medium,Initial calibration label; replace with manual reviewer label before final submission.
3,B,medium,Initial calibration label; replace with manual reviewer label before final submission.
4,B,medium,Initial calibration label; replace with manual reviewer label before final submission.
5,B,medium,Initial calibration label; replace with manual reviewer label before final submission.
6,tie,medium,Initial calibration label; replace with manual reviewer label before final submission.
7,B,medium,Initial calibration label; replace with manual reviewer label before final submission.
8,B,medium,Initial calibration label; replace with manual reviewer label before final submission.
9,B,medium,Initial calibration label; replace with manual reviewer label before final submission.
10,A,medium,Initial calibration label; replace with manual reviewer label before final submission.
